Address,Price,Beds,Baths,Area,Measurement,Property Type,URL
290 Old Bethel Rd,99700,2,1,872.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/290-Old-Bethel-Rd_Monticello_KY_42633_M90519-27780?from=srp-list-card
4685 Brammer Hill Ridge Rd,299900,4,1,1482.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/4685-Brammer-Hill-Ridge-Rd_Monticello_KY_42633_M34382-05943?from=srp-list-card
1906 Green Ford Rd,150000,1,1,1428.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/1906-Green-Ford-Rd_Monticello_KY_42633_M48374-10474?from=srp-list-card
84 Highway 3286,129900,3,1,984.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/84-Highway-3286_Monticello_KY_42633_M46119-14256?from=srp-list-card
125 Park Ave,199900,3,2,2264.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/125-Park-Ave_Monticello_KY_42633_M48851-48147?from=srp-list-card
157 Old Fall Creek Rd,655000,4,2.5,2898.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/157-Old-Fall-Creek-Rd_Monticello_KY_42633_M96085-21080?from=srp-list-card
52 Zollicoffer Estates Rd,229500,3,2,1404.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/52-Zollicoffer-Estates-Rd_Monticello_KY_42633_M45954-05444?from=srp-list-card
3075 KY 92,349900,4,3.5,3189.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/3075-KY-92_Monticello_KY_42633_M99919-33078?from=srp-list-card
1681 Highway 1568,439900,5,5,4000.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/1681-Highway-1568_Monticello_KY_42633_M48472-38626?from=srp-list-card
389 Don Gregory Rd,125900,3,1,999.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/389-Don-Gregory-Rd_Monticello_KY_42633_M45753-56367?from=srp-list-card
490 Rolling Acres Dr,240000,5,2.5,2968.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/490-Rolling-Acres-Dr_Monticello_KY_42633_M48960-29802?from=srp-list-card
1095 Old Lock 21 Rd,654500,5,3,4106.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/1095-Old-Lock-21-Rd_Monticello_KY_42633_M46715-02498?from=srp-list-card
451 Shaw Valley Rd,219000,3,2,1848.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/451-Shaw-Valley-Rd_Monticello_KY_42633_M47516-61541?from=srp-list-card
643 KY 1275,216000,4,2.5,2210.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/643-KY-1275_Monticello_KY_42633_M98201-41887?from=srp-list-card
140 Damron Dr,299900,4,3,3384.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/140-Damron-Dr_Monticello_KY_42633_M48742-66492?from=srp-list-card
31 Tall Timbers Ln,174900,3,2,1136.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/31-Tall-Timbers-Ln_Monticello_KY_42633_M46996-38285?from=srp-list-card
100 Waters Edge Trl,685000,5,3.5,3810.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/100-Waters-Edge-Trl_Monticello_KY_42633_M95516-61017?from=srp-list-card
1163 Ramseys Point Rd,219900,2,2.5,1228.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/1163-Ramseys-Point-Rd_Monticello_KY_42633_M46690-05680?from=srp-list-card
2991 S Highway 1275,97000,3,1,1128.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/2991-Highway-1275-S_Monticello_KY_42633_M47471-52362?from=srp-list-card
137 Indian Cave Rd,649000,5,4.5,5546.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/137-Indian-Cave-Rd_Monticello_KY_42633_M95434-57451?from=srp-list-card
1265 KY Highway 776,329500,3,2.5,1734.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/1265-KY-Highway-776_Monticello_KY_42633_M91560-75277?from=srp-list-card
4795 Highway 1009 S,195130,3,2.5,2183.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/4795-Highway-1009-S_Monticello_KY_42633_M46620-74215?from=srp-list-card
482 Bugwood Rd,149500,1,1.5,1272.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/482-Bugwood-Rd_Monticello_KY_42633_M32856-99092?from=srp-list-card
332 Turner Ln,269000,4,2,2100.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/332-Turner-Ln_Monticello_KY_42633_M94624-84391?from=srp-list-card
4373 Highway 1546,190000,5,2,2032.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/4373-Highway-1546_Monticello_KY_42633_M46472-79636?from=srp-list-card
179 Eads Dr,168000,3,2,1400.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/179-Eads-Dr_Monticello_KY_42633_M30097-19508?from=srp-list-card
110 Jenkins St,65000,3,1,1196.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/110-Jenkins-St_Monticello_KY_42633_M48979-30365?from=srp-list-card
167 Rankin Ln,164900,3,1.5,1148.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/167-Rankin-Ln_Monticello_KY_42633_M48848-87285?from=srp-list-card
153 Bartleston Subdivision Rd,244900,3,2,1374.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/153-Bartleston-Subdivision-Rd_Monticello_KY_42633_M47551-27273?from=srp-list-card
510 Green Hill Estates Rd,744000,5,5.5,7800.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/510-Green-Hill-Estates-Rd_Monticello_KY_42633_M46211-93476?from=srp-list-card
