Address,Price,Area,Measurement,Property Type,URL
Bugwood Rd,106000,48.0,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Bugwood-Rd_Monticello_KY_42633_M98391-75245?from=srp-list-card
10 Ritner Rd,483000,110.0,acres,LAND,https://www.realtor.com/realestateandhomes-detail/10-Ritner-Rd_Ritner_KY_42633_M99846-79011?from=srp-list-card
988 Blue Hole Rd,299900,304.0,acres,LAND,https://www.realtor.com/realestateandhomes-detail/988-Blue-Hole-Rd_Monticello_KY_42633_M94004-65261?from=srp-list-card
33 Sandstone Point Rd,25000,1.2600091827364555,acres,LAND,https://www.realtor.com/realestateandhomes-detail/33-Sandstone-Point-Rd_Monticello_KY_42633_M97558-49078?from=srp-list-card
527 Shaw Valley Rd,45000,5.1,acres,LAND,https://www.realtor.com/realestateandhomes-detail/527-Shaw-Valley-Rd_Monticello_KY_42633_M47514-75211?from=srp-list-card
Camp Earl Wallace Rd,475000,53.0,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Camp-Earl-Wallace-Rd_Monticello_KY_42633_M96824-46613?from=srp-list-card
1843 Highway 2393 Lot 25,59900,0.7100091827364554,acres,LAND,https://www.realtor.com/realestateandhomes-detail/1843-Highway-2393-Lot-4_Monticello_KY_42633_M90869-59379?from=srp-list-card
1843 Highway 2393 Lot 17,59900,0.6399908172635446,acres,LAND,https://www.realtor.com/realestateandhomes-detail/1843-Highway-2393-Lot-17_Monticello_KY_42633_M90872-00595?from=srp-list-card
33 Ashleys Way,22000,1.1800045913682278,acres,LAND,https://www.realtor.com/realestateandhomes-detail/33-Ashleys-Way_Monticello_KY_42633_M97671-29573?from=srp-list-card
1430 Highway 1479,204900,16.2,acres,LAND,https://www.realtor.com/realestateandhomes-detail/1430-Highway-1479_Monticello_KY_42633_M96864-55298?from=srp-list-card
300 Danny Hughes Rd,439900,154.0,acres,LAND,https://www.realtor.com/realestateandhomes-detail/300-Danny-Hughes-Rd_Monticello_KY_42633_M99263-04666?from=srp-list-card
210 Cedar Bluff Shrs,22500,0.6600091827364555,acres,LAND,https://www.realtor.com/realestateandhomes-detail/210-Cedar-Bluff-Dr_Monticello_KY_42633_M94534-54468?from=srp-list-card
Rocky Hill Rd Lot 8,54900,2.1399908172635445,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Jonesville-Cemetery-Rd-Lot-8_Monticello_KY_42633_M94526-44065?from=srp-list-card
181 Cedar Bluff Dr,39500,1.0,acres,LAND,https://www.realtor.com/realestateandhomes-detail/181-Cedar-Bluff-Dr_Monticello_KY_42633_M94153-55024?from=srp-list-card
Boone Ridge Trl,30000,1.2899908172635446,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Boone-Ridge-Trl_Monticello_KY_42633_M92204-06624?from=srp-list-card
022 Highway 789 Lot 4,1,53.0,acres,LAND,https://www.realtor.com/realestateandhomes-detail/22-Highway-789-4_Monticello_KY_42633_M92608-87839?from=srp-list-card
14 Lakepoint Rd,24000,6.339990817263544,acres,LAND,https://www.realtor.com/realestateandhomes-detail/14-Lakepoint-View-Rd_Monticello_KY_42633_M96825-76166?from=srp-list-card
Cumberland Shrs Lot 8,9500,2.1899908172635447,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Cumberland-Shrs-Lot-8_Monticello_KY_42633_M94061-19923?from=srp-list-card
Highway 167,13000,2.9699954086317724,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Highway-167_Monticello_KY_42633_M99757-91483?from=srp-list-card
Oakley Dr,9500,0.38000459136822773,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Oakley-Dr_Monticello_KY_42633_M97770-36266?from=srp-list-card
Cumberland Shrs Lot 131C,19900,6.019995408631773,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Cumberland-Shrs-Lot-131C_Monticello_KY_42633_M97255-29409?from=srp-list-card
8 Carters Dock Rd,64400,7.960009182736456,acres,LAND,https://www.realtor.com/realestateandhomes-detail/8-W-Carter-Rd_Monticello_KY_42633_M91487-24685?from=srp-list-card
5 Carters Dock Rd,49500,5.589990817263544,acres,LAND,https://www.realtor.com/realestateandhomes-detail/5-W-Carter-Rd_Monticello_KY_42633_M96423-72655?from=srp-list-card
410 Clayton Lyons Rd,17500,2.2,acres,LAND,https://www.realtor.com/realestateandhomes-detail/410-Clayton-Lyons-Rd_Monticello_KY_42633_M91588-41984?from=srp-list-card
9 Carter Dock Rd,59900,7.4300045913682276,acres,LAND,https://www.realtor.com/realestateandhomes-detail/9-W-Carter-Rd_Monticello_KY_42633_M95881-42441?from=srp-list-card
6 Carters Dock Rd,54400,6.519995408631773,acres,LAND,https://www.realtor.com/realestateandhomes-detail/6-W-Carter-Rd_Monticello_KY_42633_M94632-10607?from=srp-list-card
10 Carters Dock Rd,85200,13.95,acres,LAND,https://www.realtor.com/realestateandhomes-detail/10-W-Carter-Rd_Monticello_KY_42633_M91905-27062?from=srp-list-card
1 Timber Creek Ln,160000,16.45,acres,LAND,https://www.realtor.com/realestateandhomes-detail/1-Timberlake-Ln_Monticello_KY_42633_M48763-13244?from=srp-list-card
Cumberland Shrs Lot 87,9900,0.8,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Cumberland-Shrs-Lot-87_Monticello_KY_42633_M91392-12060?from=srp-list-card
158 Wild Rose Dr,15500,1.1699954086317723,acres,LAND,https://www.realtor.com/realestateandhomes-detail/158-Wild-Rose-Dr_Monticello_KY_42633_M94158-50960?from=srp-list-card
Sandstone Pt Lot 7,30000,5.7,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Sandstone-Pt-Lot-7_Monticello_KY_42633_M41960-82714?from=srp-list-card
44 Green Hill Estates Rd,75000,0.5600091827364555,acres,LAND,https://www.realtor.com/realestateandhomes-detail/44-Green-Hill-Estates-Rd_Monticello_KY_42633_M41726-51116?from=srp-list-card
20 Lakepoint View Rd,49000,4.4300045913682276,acres,LAND,https://www.realtor.com/realestateandhomes-detail/20-Lakepoint-View-Rd_Monticello_KY_42633_M95906-25192?from=srp-list-card
1049 Golce Dean Rd,84900,5.5100091827364555,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Golce-Dean-Rd_Monticello_KY_42633_M44935-36773?from=srp-list-card
Hickory Point Dr Lot 27,59900,1.6300045913682277,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Hickory-Point-Dr-Lot-27_Monticello_KY_42633_M97872-71636?from=srp-list-card
1926 Greenbriar Rd,33000,3.0100091827364555,acres,LAND,https://www.realtor.com/realestateandhomes-detail/1926-Greenbriar-Rd_Monticello_KY_42633_M96852-56853?from=srp-list-card
774 Hickory Point Dr,60000,5.0,acres,LAND,https://www.realtor.com/realestateandhomes-detail/774-Hickory-Point-Dr_Monticello_KY_42633_M91046-90156?from=srp-list-card
80 Deer Trl,31000,2.5899908172635446,acres,LAND,https://www.realtor.com/realestateandhomes-detail/80-Deer-Trl_Monticello_KY_42633_M93207-63908?from=srp-list-card
Cumberland Shrs Lot 77,12500,0.6800045913682278,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Cumberland-Shrs-Lot-77_Monticello_KY_42633_M93994-68994?from=srp-list-card
2 Lighthouse Ests,40000,0.5100091827364555,acres,LAND,https://www.realtor.com/realestateandhomes-detail/2-Lighthouse-Dr_Monticello_KY_42633_M39369-72615?from=srp-list-card
Lodge Subdivision Lot Beaver,39900,2.1899908172635447,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Lodge-Subdivision-Lot-Beaver_Monticello_KY_42633_M93648-14050?from=srp-list-card
Cumberland Shrs Lot 131A and B,30000,6.75,acres,LAND,https://www.realtor.com/realestateandhomes-detail/Cumberland-Shrs-Lot-131A_Monticello_KY_42633_M96237-81871?from=srp-list-card
